"id"	"E1.10.Poc.dami.1.20140731.M_above"	"E1.10.Sty.pist.1.20140807.M_above"	"E1.10.Sty.pist.1.20140815.M_above"	"E1.11.Fun.sp.1.20140730.M_above"	"E1.11.Fun.sp.1.20140811.M_above"	"E1.11.Lep.tran.1.20140731.M_above"	"E1.11.Psa.digi.1.20140807.M_above"	"E1.14.Phy.lich.1.20140811.M_above"	"E1.15.Dip.heli.1.20140726.M_above"	"E1.15.Dip.heli.1.20140809.M_above"	"E1.15.Dip.heli.1.20140905.M_above"	"E1.17.Ech.lame.1.20140905.M_above"	"E1.17.Ech.mamm.1.20140815.M_above"	"E1.17.Fav.sp.1.20140811.M_above"	"E1.17.Fav.sp.2.20140805.M_above"	"E1.19.Lob.sp.1.20140730.M_above"	"E1.19.Lob.sp.1.20140809.M_above"	"E1.19.Sym.sp.1.20140814.M_above"	"E1.19.Sym.sp.1.20140815.M_above"	"E1.19.Sym.sp.1.20140905.M_above"	"E1.2.Tur.pelt.1.20140814.M_above"	"E1.2.Tur.reni.1.20140730.M_above"	"E1.2.Tur.reni.1.20140814.M_above"	"E1.3.Por.loba.1.20140724.M_above"	"E1.3.Por.loba.1.20140905.M_above"	"E1.4.Pac.rugo.1.20140728.M_above"	"E1.4.Pac.rugo.1.20140814.M_above"	"E1.4.Pac.spec.1.20140811.M_above"	"E1.5.Gal.astr.1.20140728.M_above"	"E1.5.Gal.astr.1.20140807.M_above"	"E1.5.Gal.astr.1.20140814.M_above"	"E1.5.Gal.astr.1.20140905.M_above"	"E1.6.Acr.humi.1.20140731.M_above"	"E1.6.Acr.sp.1.20140905.M_above"	"E1.6.Iso.pali.1.20140803.M_above"	"E1.6.Iso.pali.1.20140815.M_above"	"E1.7.Pav.sp.1.20140905.M_above"	"E1.7.Pav.vari.1.20140815.M_above"	"E1.7.Pav.veno.1.20140809.M_above"	"E10.10.Poc.dami.1.20150630.M_above"	"E10.10.Sty.pist.1.20150630.M_above"	"E10.10.Sty.pist.2.20150630.M_above"	"E10.17.Fav.abdi.1.20150630.M_above"	"E10.17.Fav.abdi.2.20150630.M_above"	"E10.17.Gon.favu.1.20150629.M_above"	"E10.17.Gon.favu.1.20150630.M_above"	"E10.17.Gon.favu.2.20150630.M_above"	"E10.17.Mon.curt.3.20150629.M_above"	"E10.Aca.hill.1.20150629.M_above"	"E10.Aca.hill.2.20150629.M_above"	"E10.Aca.hill.3.20150629.M_above"	"E10.Acr.cyth.1.20150627.M_above"	"E10.Acr.cyth.2.20150627.M_above"	"E10.Acr.cyth.3.20150627.M_above"	"E10.Acr.pali.1.20150627.M_above"	"E10.Acr.pali.2.20150627.M_above"	"E10.Acr.pali.3.20150627.M_above"	"E10.Alv.alli.1.20150628.M_above"	"E10.Alv.alli.2.20150628.M_above"	"E10.Alv.alli.3.20150628.M_above"	"E10.Cyp.micr.1.20150627.M_above"	"E10.Cyp.sera.2.20150628.M_above"	"E10.Fav.abdi.1.20150629.M_above"	"E10.Mon.curt.1.20150629.M_above"	"E10.Mon.curt.2.20150629.M_above"	"E10.Poc.dami.1.20150628.M_above"	"E10.Por.hero.1.20150628.M_above"	"E10.Ser.cali.1.20150627.M_above"	"E10.Ser.cali.2.20150627.M_above"	"E10.Ser.cali.3.20150627.M_above"	"E10.Sty.pist.1.20150628.M_above"	"E3.10.Sty.pist.1.20150127.M_above"	"E3.10.Sty.pist.2.20150124.M_above"	"E3.11.Fun.sp.1.20150125.M_above"	"E3.11.Fun.sp.2.20150125.M_above"	"E3.14.Phy.lich.1.20150125.M_above"	"E3.14.Phy.lich.1.20150129.M_above"	"E3.14.Phy.lich.2.20150125.M_above"	"E3.15.Dip.heli.1.20150105.M_above"	"E3.15.Dip.heli.1.20150106.M_above"	"E3.15.Dip.heli.1.20150118.M_above"	"E3.15.Dip.heli.1.20150119.M_above"	"E3.15.Dip.heli.1.20150120.M_above"	"E3.15.Dip.heli.1.20150121.M_above"	"E3.15.Dip.heli.1.20150123.M_above"	"E3.15.Dip.heli.2.20150105.M_above"	"E3.15.Dip.heli.2.20150119.M_above"	"E3.15.Dip.heli.2.20150120.M_above"	"E3.15.Dip.heli.2.20150121.M_above"	"E3.15.Dip.heli.2.20150123.M_above"	"E3.15.Dip.heli.3.20150105.M_above"	"E3.15.Dip.heli.3.20150120.M_above"	"E3.15.Dip.heli.3.20150121.M_above"	"E3.15.Dip.heli.3.20150123.M_above"	"E3.15.Dip.heli.4.20150105.M_above"	"E3.17.Ech.mamm.1.20150123.M_above"	"E3.17.Ech.mamm.1.20150127.M_above"	"E3.17.Ech.mamm.1.20150129.M_above"	"E3.19.Sym.sp.1.20150125.M_above"	"E3.19.Sym.sp.1.20150127.M_above"	"E3.19.Sym.sp.2.20150125.M_above"	"E3.2.Tur.reni.1.20150124.M_above"	"E3.2.Tur.reni.1.20150127.M_above"	"E3.2.Tur.reni.2.20150124.M_above"	"E3.3.Por.cyli.1.20150123.M_above"	"E3.3.Por.cyli.1.20150127.M_above"	"E3.3.Por.cyli.2.20150123.M_above"	"E3.4.Pac.rugo.1.20150127.M_above"	"E3.4.Pac.rugo.1.20150128.M_above"	"E3.4.Pac.spec.1.20150128.M_above"	"E3.4.Pac.spec.1.20150129.M_above"	"E3.5.Gal.astr.1.20150124.M_above"	"E3.5.Gal.astr.2.20150124.M_above"	"E3.5.Gal.astr.2.20150127.M_above"	"E3.6.Acr.hyac.1.20150105.M_above"	"E3.6.Acr.hyac.1.20150106.M_above"	"E3.6.Acr.hyac.1.20150118.M_above"	"E3.6.Acr.hyac.1.20150120.M_above"	"E3.6.Acr.hyac.1.20150121.M_above"	"E3.6.Acr.hyac.1.20150123.M_above"	"E3.6.Acr.hyac.2.20150105.M_above"	"E3.6.Acr.hyac.2.20150106.M_above"	"E3.6.Acr.hyac.2.20150120.M_above"	"E3.6.Acr.hyac.2.20150121.M_above"	"E3.6.Acr.hyac.2.20150123.M_above"	"E3.6.Acr.hyac.3.20150105.M_above"	"E3.6.Acr.hyac.3.20150123.M_above"	"E3.6.Acr.hyac.4.20150105.M_above"	"E3.7.Pav.vari.1.20150124.M_above"	"E3.7.Pav.vari.1.20150127.M_above"	"E3.7.Pav.vari.2.20150124.M_above"	"E7.10.Poc.dami.1.20150621.M_above"	"E7.10.Poc.dami.2.20150621.M_above"	"E7.10.Poc.dami.3.20150621.M_above"	"E7.10.Ser.cali.1.20150622.M_above"	"E7.10.Ser.cali.2.20150622.M_above"	"E7.10.Ser.cali.3.20150622.M_above"	"E7.17.Cyp.micr.1.20150621.M_above"	"E7.17.Cyp.micr.2.20150621.M_above"	"E7.17.Ech.lame.1.20150620.M_above"	"E7.17.Ech.lame.2.20150620.M_above"	"E7.17.Ech.lame.3.20150620.M_above"	"E7.17.Fav.abdi.1.20150623.M_above"	"E7.17.Fav.abdi.2.20150623.M_above"	"E7.17.Fav.spA.1.20150623.M_above"	"E7.17.Fav.spA.2.20150623.M_above"	"E7.17.Fav.spB.1.20150623.M_above"	"E7.17.Gon.edwa.1.20150623.M_above"	"E7.17.Gon.edwa.2.20150623.M_above"	"E7.17.Hyd.exce.1.20150620.M_above"	"E7.17.Hyd.exes.1.20150622.M_above"	"E7.17.Hyd.exes.2.20150622.M_above"	"E7.17.Mer.ampl.1.20150621.M_above"	"E7.17.Mer.ampl.3.20150621.M_above"	"E7.17.Myc.elep.1.20150622.M_above"	"E7.17.Pla.sine.2.20150622.M_above"	"E7.17.Pla.sine.3.20150622.M_above"	"E7.19.Lob.hemp.1.20150619.M_above"	"E7.19.Lob.hemp.1.20150621.M_above"	"E7.19.Lob.hemp.2.20150619.M_above"	"E7.3.Por.loba.1.20150619.M_above"	"E7.3.Por.loba.2.20150619.M_above"	"E7.3.Por.loba.3.20150619.M_above"	"E7.3.Por.loba.4.20150619.M_above"	"E7.5.Gal.astr.1.20150622.M_above"	"E7.5.Gal.fasc.1.20150621.M_above"	"E7.5.Gal.fasc.1.20150622.M_above"	"E7.6.Acr.hyac.1.20150622.M_above"	"E7.6.Acr.hyac.2.20150622.M_above"	"E7.6.Acr.hyac.3.20150622.M_above"	"E7.6.Mon.aequ.1.20150620.M_above"	"E7.6.Mon.aequ.2.20150620.M_above"	"E7.6.Mon.aequ.3.20150620.M_above"	"E7.6.Mon.aequ.4.20150620.M_above"	"E7.7.Pav.vari.1.20150622.M_above"	"E7.7.Pav.vari.1.20150623.M_above"	"E7.7.Pav.vari.2.20150622.M_above"	"114-C161-M_above"	"117-PC1-M_above"	"1256-012-C121-M_above"	"1256-019-C123-M_above"	"1256-022-C127-M_above"	"1256-025-C128-M_above"	"1256-028-C129-M_above"	"1256-040-C143-M_above"	"1256-043-C144-M_above"	"1256-046-C145-M_above"	"1256-049-C148-M_above"	"1256-056-C150-M_above"	"1256-059-C151-M_above"	"1256-062-C152-M_above"	"1256-064-C153-M_above"	"1256-068-C327-M_above"	"1256-071-C328-M_above"	"1256-101-PW164-M_above"	"1256-104-PW165-M_above"	"1256-107-PW166-M_above"	"1256-110-PW167-M_above"	"1256-113-PW168-M_above"	"1256-116-PW169-M_above"	"1256-120-PW170-M_above"	"1256-123-PW171-M_above"	"1256-126-PW172-M_above"	"1256-129-PW174-M_above"	"1256-132-PW175-M_above"	"1256-134-PW176-M_above"	"1256-137-PW177-M_above"	"1256-140-PW178-M_above"	"1256-143-PW181-M_above"	"1256-145-PW182-M_above"	"1256-148-PW183-M_above"	"1256-152-PW185-M_above"	"1256-155-PW186-M_above"	"1256-158-PW187-M_above"	"1256-161-PW190-M_above"	"1256-163-PW191-M_above"	"1256-165-PW192-M_above"	"1256-169-PW193-M_above"	"1256-172-PW194-M_above"	"1256-175-PW195-M_above"	"1256-178-PW197-M_above"	"1256-185-PW199-M_above"	"1256-190-PW202-M_above"	"1256-193-PW203-M_above"	"1256-196-PW204-M_above"	"1256-200-HI6-M_above"	"1256-203-HI7-M_above"	"1256-206-HI8-M_above"	"1256-209-HI10-M_above"	"1256-212-HI57-M_above"	"1256-216-HI58-M_above"	"1256-219-HI59-M_above"	"1256-222-HI60-M_above"	"1256-225-HI61-M_above"	"1256-228-HI62-M_above"	"1256-232-HI63-M_above"	"1256-235-HI64-M_above"	"1256-238-HI65-M_above"	"1256-241-HI66-M_above"	"1256-244-HI67-M_above"	"1256-247-HI68-M_above"	"1256-251-HI69-M_above"	"1256-254-HI70-M_above"	"1256-259-HIB-M_above"	"1256-262-HICM_above"	"1256-266-HID-M_above"	"1256-269-HIE-M_above"	"1256-274-P5-M_above"	"1256-288-P7-M_above"	"1256-291-P8-M_above"	"1256-294-P11-M_above"	"1256-298-P12-M_above"	"1256-303-P479-M_above"	"1256-305-P480-M_above"	"1256-307-P481-M_above"	"1256-309-P482-M_above"	"1256-311-P483-M_above"	"1256-313-P484-M_above"	"1256-315-P485-M_above"	"1256-319-P486-M_above"	"1256-321-P489-M_above"	"1256-323-P492-M_above"	"1256-324-P493-M_above"	"1256-326-P494-M_above"	"1256-330-P497-M_above"	"1256-332-P498-M_above"	"1256-333-P499-M_above"	"1256-337-P502-M_above"	"1256-338-P503-M_above"	"1256-340-P504-M_above"	"1256-342-P507-M_above"	"1256-344-P508-M_above"	"1256-346-P509-M_above"	"1256-348-P510-M_above"	"1256-350-P511-M_above"	"1256-352-P512-M_above"	"1256-358-P501-M_above"	"126-PC4-M_above"	"133-PC6-M_above"	"140-PC5-M_above"	"150-PC11-M_above"	"153-PC12-M_above"	"156-PC13-M_above"	"158-PC17-M_above"	"161-PC18-M_above"	"164-PC19-M_above"	"169-PC20-M_above"	"172-PC21-M_above"	"174-PC22-M_above"	"176-PC23-M_above"	"177-PC24-M_above"	"180-PC25-M_above"	"200-PC26-M_above"	"202-PC27-M_above"	"204-PC28-M_above"	"206-PC29-M_above"	"212-PC31-M_above"	"213-PC32-M_above"	"214-PC33-M_above"	"215-PC34-M_above"	"216-PC35-M_above"	"217-PC36-M_above"	"218-PC37-M_above"	"219-PC38-M_above"	"220-PC39-M_above"	"234-C318-M_above"	"237-C319-M_above"	"240-C320-M_above"	"252-C326-M_above"	"263-C330-M_above"	"272-C333-M_above"	"284-C337-M_above"	"295-C339-M_above"	"298-C341-T_above"	"379-C439-M_above"	"382-C440-M_above"	"385-C441-M_above"	"388-C442-M_above"	"391-C443-M_above"	"62-C146-M_above"	"66-C147-M_above"	"87-C156-M_above"
"bbc16770c881b363745bc44da638041a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a8b952afe38fbbd51add026dd9c5044f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	6	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	6	0	2	0	0	0	0	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	8	4	0	2	8	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	5	6	0	24	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"9e2bb5235d9ca20cf9ebaec45c280e12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	0	0	10	0	0	23	29	0	0	0	0	0	0	8	0	0	39	0	0	0	0	0	0	0	35	33	0	0	19	32	0	0	6	0	0	0	0	0	0	12	16	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	67	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	9	0	0	0	0	0	34	0	12	0	0	0	49	12	0	0	0	33	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	35	10	0	66	18	0	0	0	6	0	23	12	0	12	8	0	17	5	0	0	34	0	5	6	0	0	0	12	0	0	0	0	0	0	0	9	0	0	26	0	0	26	0	4	0	0	0	0	0	0	55	0	0	0	0	12	0	0	0	0	0	0	5	16	0	8	0	0	0	0	0	0	0	15	0	2	0	0	34	22	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	32	0	0	8	0	30	0	0	0	13	16	0	116	0	0	0	0
"1707a6bd26ab2d60c7b32971493ce2fa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	36	48	3	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	4	0	1	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9624d57484b84406789755c44c7662f5"	0	0	0	2	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d2544cb0ab4035a1b06764e597b302c1"	0	0	0	0	0	0	0	0	0	7	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	18	12	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	5	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"90d21d521291244f2a32e928ca024209"	0	0	0	35	0	0	8	0	0	0	0	0	0	0	19	29	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	4	0	0	3	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"d8d9550281b6063b6d9b58ebaac3ba14"	0	0	4	11	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8c71272113e39e21d4413508c6c68cae"	0	0	0	10	10	0	7	0	0	24	0	0	4	3	0	0	0	0	0	17	9	6	18	5	0	0	8	0	0	0	24	0	0	0	4	5	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	3	71	0	0	0	0	0	0	28	0	0	0	0	0	0	0	42	0	0	0	16	0	14	0	14	21	6	5	0	0	0	0	0	0	20	0	15	37	0	0	0	0	0	4	11	0	0	0	0	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	17	0	0	0	3	20	0	0	0	0	0	0	0	0	0	5	0	13	0	0	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	8	5	0	0	0	0	0	4	0	0	0	0	0	10	0	5	0	0	0	0	0	12	0	11	2	0	3	0	0	1	0	11	4	2	1	0	0	0	0	0	0	0	6	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	8	3	4	5	1	0	0	7	0	9	14	0	9	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	9	9	0	0	0	3	6	0	0	0	0	0	0	0	0	24	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	7
"ff4fd1e2aeed684a34c343d03c6aaea5"	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0	0	0	15	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cd0fec0f11b5f814a7489612d66fb0ff"	0	0	11	0	0	0	0	0	0	35	0	0	10	0	0	0	0	0	0	30	0	0	30	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	6	0	1	6	0	0	4	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
